,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
1817,36081063500,40.704741799999994,-73.8669633,11385.0,2381,42386,35781,204300,580,61683,49333,238900,855,75469,62530,575100,1284,481,395,465
1818,36081063700,40.7083681,-73.8622875,11385.0,3467,47282,41954,212522,656,58536,50388,228577,905,71920,54767,553700,1514,382,437,345
1819,36081063800,40.6698395,-73.7330916,11422.0,3198,48158,46117,164500,712,65058,58164,187500,843,82984,77667,425500,1385,162,248,212
1820,36081063900,40.7038549,-73.8570005,11385.0,2388,45595,36198,219700,539,55227,45323,225400,697,81111,59115,517300,1109,544,593,494
1821,36081064101,40.6991149,-73.851762,11421.0,1664,35257,27992,176400,307,46477,31012,176000,336,78750,52375,202400,749,359,156,119
1822,36081064102,40.7021029,-73.8534762,11421.0,573,55874,39209,13035,489,69129,45481,13005,876,145125,34875,213800,0,284,40,2
1823,36081064500,40.7091347,-73.85223549999999,11375.0,1217,47353,37188,221700,683,53229,47763,229900,924,88929,76806,613900,1382,176,197,297
1824,36081064600,40.672790899999995,-73.7423877,11413.0,2927,51659,50380,163300,703,64750,58333,184200,764,74779,77857,450900,1190,150,216,206
1825,36081065000,40.669459499999995,-73.7448273,11413.0,3233,61586,62364,176800,1001,66705,63359,191500,827,113419,110179,440600,929,52,155,167
1826,36081065400,40.662811299999994,-73.7402932,11422.0,2273,43721,43110,160800,676,64091,60542,181500,797,85652,80852,460700,1274,239,190,289
1827,36081065501,40.7147539,-73.8666497,11379.0,594,46307,29063,173100,725,54700,52250,239800,748,0,0,0,0,134,181,0
1828,36081065600,40.6599317,-73.7296587,11422.0,3442,49861,41207,172800,721,60804,55923,189400,1003,87098,85833,455900,1632,345,438,625
1829,36081065702,40.713330299999996,-73.8829484,11379.0,1464,40385,34236,185500,621,56053,46161,227800,827,98056,44688,585700,1308,335,324,354
1830,36081065703,40.7151213,-73.87531290000001,11379.0,1823,50413,39608,213795,635,61361,52739,252701,804,68175,63934,552400,1287,296,330,417
1831,36081065900,40.71554520000001,-73.88248399999999,11379.0,1649,53205,38654,212100,639,70583,61063,238500,804,79704,77344,493900,936,175,217,216
1832,36081066000,40.6585725,-73.73337049999999,11422.0,2537,50539,45556,175700,700,66429,65153,188600,962,86990,83750,483300,1610,184,300,354
1833,36081066100,40.717512400000004,-73.8817907,11379.0,1646,45500,42935,219800,765,70568,52273,242500,952,91188,78438,563200,1222,313,202,222
1834,36081066300,40.721119,-73.8773457,11379.0,2423,56088,50835,220400,746,72708,60817,245700,811,72375,59209,561700,1622,181,184,173
1835,36081066400,40.6474403,-73.7432528,11422.0,8675,49338,44160,168300,824,62212,59374,183196,994,79103,76736,454100,1611,1066,1195,1300
1836,36081066501,40.7193396,-73.8873699,11379.0,3141,47232,37327,206117,689,61844,52170,247248,909,75120,56221,628000,1321,655,589,647
1837,36081066701,40.7218169,-73.89134090000002,11378.0,2025,43097,36442,212325,671,61149,52444,228291,854,79412,76921,591900,1384,345,276,362
1838,36081066900,40.723566999999996,-73.88592159999999,11379.0,1782,46724,40667,233000,705,64423,54167,257900,887,59722,66063,622700,1327,215,227,267
