,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1,rich_9,rich_0,rich_1,rich_all
248,36005036800,0.7615578292850507,0.646808011345988,0.9339617107919231,0.3003511131032422,0.6982543640897756,0.31296583277986867,0.4783319705641864,0.3253619576431312,0.477112676056338,0.03897180762852405,0.08249158249158249,0.09218436873747494,0.5788889779617885,0.34332645451419247,0.31234285750646457,0.37888399520515503,0.28644623333968583,0.5127510765129328,0.8619268309278819,0.13487993080005803,0.7485318233718418,0.5499466512632174,0.43053040680068205,0.1447569833435943,0.4091504558834634,3.0,2.0,2.0,2.0
251,36005037000,0.9216234856397408,0.7178366630174177,0.9370179937336588,0.37724737287713533,0.5548628428927681,0.35596388950384966,0.4652493867538839,0.3407676168175548,0.5839201877934272,0.13460475400773908,0.09708193041526375,0.11308330947609505,0.35004800569279604,0.2836928046447925,0.3596418762320935,0.32286905785025666,0.4111537688657338,0.4490151298105586,0.2043750901448614,0.26344687175409304,0.7008766395260353,0.6843753948676816,0.388605557070014,0.14963364967241438,0.5538540405792284,2.0,2.0,2.0,2.0
252,36005037100,0.628777453561671,0.7042484962785498,0.720131495900157,0.10406394740773943,0.286783042394015,0.08211776088685542,0.24529844644317253,0.08050007534746774,0.2881455399061033,0.36788280818131563,0.3897306397306397,0.40166046378471226,0.6301097141351902,0.5902472135290234,0.683554282842011,0.5401801360171232,0.40694537847082934,0.36481419383051983,0.3603509480721998,0.3316118234593373,0.5240854811932526,0.6346307712486884,0.3263708487728864,0.12470608709009572,0.5812942210501424,4.0,4.0,4.0,4.0
253,36005037200,0.6886803188162373,0.6686526259030346,0.9293986200011087,0.21070521440310772,0.4975062344139651,0.29229495158208907,0.38348323793949307,0.3061251695318024,0.4688967136150235,0.1238253178551686,0.13496071829405162,0.1623246492985972,0.5801904227866256,0.28966140247785127,0.32783699191614957,0.45537826922079144,0.35691091556918275,0.7106437170247145,0.378095453372475,0.08128189955106688,0.7285261013553563,0.6640637839922124,0.4314325760611249,0.1524086902854924,0.495967585754443,3.0,2.0,2.0,2.0
254,36005037300,0.5586512246478635,0.7499534791721918,0.6530756751040527,0.06622590766472435,0.25311720698254364,0.11825285546782115,0.31479967293540473,0.10054250176776751,0.38438967136150237,0.3054173576561636,0.35129068462401797,0.41196679072430575,0.7467236649876681,0.5677970598503504,0.7283848623436511,0.6530608069682516,0.6347141367676421,0.7234545178773775,0.40359111603869324,0.22644803132795055,0.44354571408586163,0.6594378686181569,0.2939894643445524,0.1445050460467088,0.6463200036377593,4.0,4.0,4.0,4.0
255,36005037400,0.856448360169165,0.8103445231336524,0.6234141473401611,0.2103441406444544,0.33042394014962595,0.12911716232504367,0.19787408013082583,0.06570878783312274,0.18603286384976525,0.349640685461581,0.34147025813692483,0.36358431148010306,0.39626112288386706,0.35642693132256054,0.5837841121074486,0.4385479157943391,0.23984124279363778,0.24435146513489026,0.3213416969755399,0.30749779889596496,0.3914981935145856,0.5408972493822951,0.1508521030358779,0.12972746456740053,0.761937423913186,3.0,4.0,4.0,4.0
256,36005037504,0.4897204790305797,0.6155223621106812,0.6625676394608551,0.08152796454006674,0.17830423940149626,0.07737026377717102,0.15944399018806213,0.08266776403491485,0.2705399061032864,0.27750138197899393,0.25280583613916946,0.329516175207558,0.5282143610876909,0.4442478149098114,0.6432101757424373,0.5964373131141254,0.4124340990804477,0.43338142125061735,0.2908673171088212,0.27655952598696704,0.5243394020226917,0.8110138025667932,0.35241655417382844,0.163370710159701,0.7036021421161333,4.0,4.0,4.0,4.0
257,36005037600,0.7027284271185036,0.8067268008617916,0.9847503183114653,0.25107077045669607,0.5087281795511222,0.1527480546741118,0.41128372853638595,0.2558800004636767,0.3884976525821596,0.11885019347705915,0.15965207631874298,0.16490123103349555,0.5019798090008177,0.5932534562572787,0.3334608090721829,0.5620102565185423,0.3861494036823737,0.23154508700763718,0.4972876632883281,0.4635090535588282,0.6825618783320005,0.5252943831047785,0.6800368393684844,0.12830162946032284,0.25122205569054806,3.0,4.0,3.0,3.0
258,36005037800,0.8271336500355179,0.9182189379567773,0.9125133096574052,0.20816524727327057,0.4226932668329177,0.19876351888749497,0.3769419460343418,0.1874934795460605,0.4166666666666667,0.25152017689331124,0.2410213243546577,0.23733180647008303,0.5032370763460164,0.4323550530450282,0.47488221067529945,0.5460299310899918,0.4442799340808834,0.449728836077854,0.3134301040550726,0.2866864343028014,0.563618312235933,0.6061131017982367,0.35743158775332085,0.11982506329946402,0.5211794747236285,3.0,3.0,3.0,3.0
259,36005037900,0.5606606831198538,0.7109459891927796,0.5496959616550974,0.10472384082872653,0.3229426433915212,0.10604383440336507,0.32788225674570726,0.07507505766979262,0.40199530516431925,0.42371475953565507,0.4054433221099888,0.391640423704552,0.6876858610210698,0.6354897351613771,0.9105861664610168,0.6138747335128397,0.5161060857492986,0.4656267100604662,0.31166282491497815,0.32495382274509105,0.3748283238890501,0.6625834854785665,0.23442223534046133,0.1157153266487845,0.7424313928332826,4.0,4.0,4.0,4.0
