,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1
1905,36081116300,0.9535262057774523,0.9322089977468926,0.9066893313775732,0.15075654128908567,0.5566265060240964,0.13151997811770152,0.33554817275747506,0.1278022355762262,0.5813559322033899,0.2570888468809074,0.25913845461702845,0.25809188992605164,0.2628924867326301,0.42550543994648077,0.2719004093183074,0.20696647816718852,0.16340682530029618,0.07703828573721037,0.07993616709854047,0.3781482842273354,0.3287966304431166,0.29167271606993,0.22905336509555257,0.008105208456231904,0.28945144052098165
1906,36081116700,0.8932109910317301,0.8970973718363312,0.9869000448224029,0.18051475152066868,0.7060240963855422,0.1407620931260126,0.402547065337763,0.20084983371918214,0.6259887005649718,0.04892694317802736,0.0619727814644022,0.05515820099405989,0.27338913794794667,0.47480049550434095,0.1906384350136413,0.2139905505310675,0.15131611641669634,0.06221022777877223,0.10989904375650401,0.40915824710257664,0.37616472637984133,0.2634151151971659,0.3355900701887373,0.007442046175164996,0.17118350011226952
1907,36081117100,0.8307826223832245,0.8167814588149004,0.947019498827335,0.2692445621439704,0.5445783132530121,0.198913249310918,0.34219269102990035,0.25193925262673994,0.5344632768361582,0.07061047481374402,0.07378247666179283,0.06776578979270215,0.12468584933840805,0.2930740979736924,0.12843426215870934,0.2080586066191769,0.1734931433356473,0.05110574317675509,0.08472735805249086,0.4936437401045575,0.39653184998774604,0.2623496452424342,0.3101388510760373,0.007637778242020959,0.18721525649342
1908,36081117500,0.8206157985332576,0.8339968007651863,0.9584817818125897,0.28698914497731065,0.5240963855421686,0.23903254991899342,0.3859357696566999,0.26574283832866036,0.6621468926553672,0.11130879573001223,0.12034641772579012,0.11928718632561523,0.10788084701846473,0.27244210617766984,0.15070557730466885,0.21678516139356516,0.2160504923566288,0.06357442701271543,0.08848683311474466,0.511313881666489,0.393189973389528,0.29163439700726,0.27516680287997747,0.008180388133080507,0.23901957243093092
1909,36081118100,0.9318882234011471,0.8007323578195719,0.9112346437492613,0.2276934111253638,0.6204819277108434,0.25005786184695017,0.3903654485049834,0.2973548304266977,0.6135593220338983,0.0447014344490159,0.04116522325947587,0.04533882894896351,0.18188673526260635,0.2623852067782561,0.12295731245333093,0.17472815686467613,0.17527153858183517,0.10243943449188395,0.07137041840469237,0.32530211841484064,0.3883426732391607,0.2660022061140877,0.29635810333224694,0.009627470230406089,0.2001938809263848
1910,36081118500,0.8879524453271409,0.9179465967474064,0.9531301116441948,0.21750734472627964,0.5819277108433735,0.1468638878953016,0.36267995570321154,0.21449190131657964,0.7536723163841808,0.04636939842099411,0.05916094927454729,0.05976481997817917,0.1797400593850974,0.41486930958117835,0.21418649562018463,0.22188280567437987,0.1721469442723172,0.04529422709048711,0.11098575836763393,0.5192916788368761,0.35334232609016314,0.35441964368476675,0.3454116158968733,0.008587629800565837,0.22793477081174965
1911,36081118700,0.9547662787081462,0.863505395980188,0.918262106035839,0.23522434173321746,0.6542168674698795,0.1858417320680876,0.3693244739756368,0.2309087671198837,0.6887005649717514,0.04003113532747693,0.053199865032054885,0.05030912837919748,0.18499805101696018,0.33831563813143606,0.18181275507129133,0.1869649603500235,0.14859331793159822,0.05988479255413923,0.11707883395262841,0.4132178996664457,0.362064915529244,0.3172029369030897,0.30206122695558896,0.008034435438766202,0.2354393915105229
1912,36081118900,0.918202515138362,0.8930896637744685,0.9634667211436478,0.24039668418366644,0.7518072289156627,0.17014013087297747,0.4479512735326689,0.24016085546614538,0.676271186440678,0.02802179472923385,0.043639635586548195,0.048490726148624076,0.20977072723553633,0.4437851024151249,0.17141655416193233,0.20551569711713774,0.1627671415421707,0.048277685770999286,0.14293897410699025,0.48716441695666135,0.36816960376305613,0.2564026905300325,0.34031871033029926,0.009683839070881153,0.16340371857412866
1913,36081119100,0.9350952356679576,0.8594041702292049,0.8979727230594857,0.2231279568557675,0.6783132530120481,0.18002924653354935,0.3920265780730897,0.21506756840705876,0.6677966101694915,0.06015790058934727,0.0651220335170397,0.08401018305249121,0.2054293248985957,0.3698231835165912,0.18959701532862466,0.19097952084075773,0.15444591394974416,0.06285325484065131,0.08908792909457737,0.4120123102468602,0.3551637439740466,0.28974225006884297,0.28931726262748386,0.011169679135952008,0.22476416293180518
1914,36081119300,0.7990869604302648,0.9183126309292894,0.8991735756605848,0.28448573123129334,0.6542168674698795,0.16972457760851725,0.36267995570321154,0.3210441524233928,0.5344632768361582,0.035027243411542314,0.04825104037791025,0.045702509395078195,0.1436332234853623,0.36296800838411575,0.09700039203001841,0.25155854744546663,0.14430964951479341,0.03048113719644409,0.12265528423685886,0.544388789954344,0.33118426903308684,0.2476029365417772,0.456610458522347,0.008100135097700509,0.10564152854661146
1915,36081119500,0.8207915511837262,0.5835529692981644,0.8835879763047109,0.2987269141115295,0.5686746987951807,0.3063100974183096,0.4108527131782946,0.3230113601066848,0.6994350282485876,0.011564550205715557,0.014171634236868744,0.0130924960601285,0.11239661205298777,0.21945239722928644,0.1285281810198553,0.13607204587596625,0.2122998392075428,0.09034292324291959,0.10861391215176892,0.4079487542028936,0.5086444469198976,0.2904408561969473,0.2642641620179104,0.009159353119707302,0.24857791753416988
1916,36081119900,0.7164792985736367,0.7495886286829418,0.8753486343901471,0.3448297264865312,0.6144578313253012,0.2665905695709807,0.35105204872646734,0.16700557858684084,0.6146892655367232,0.010007783831869232,0.018108199302665617,0.014183537398472543,0.09880260425273761,0.21792065642792538,0.2242419525473421,0.22371038955182976,0.15115345456249332,0.05327428429997788,0.17235097110150294,0.44390954011276995,0.39782223681770074,0.2958941491025948,0.1486401670334678,0.007512092278487834,0.43834815737035254
1917,36081120100,0.7765960196121156,0.8959446287574997,0.8625495479163233,0.26108605398546225,0.7301204819277108,0.13691165021987503,0.36710963455149503,0.21069829660522077,0.5932203389830508,0.020460358056265986,0.022157237656056688,0.02570008485877076,0.1831270813993383,0.44637615292941335,0.17233209813202127,0.25234077583066833,0.12233172912406953,0.021668106173315646,0.09101034348946144,0.5501313828054523,0.32494919863162885,0.27294601081238334,0.3600141752840337,0.010671835903928258,0.16331058010432462
